model,prompt_idx,prompt_lang,adj_lang,intervention_lang,projection_lang,measure_lang,amplification_method,projection_method,original_target_minus_base,amplified_target_minus_base,isolated_target_minus_base,amplified_minus_original,isolated_minus_original,original_rank,amplified_rank,isolated_rank
gemma-2-2b,0,ja,ja,de,de,ja,val,freq,0.0,0.0,0.0,0.0,0.0,0,0,0
gemma-2-2b,0,ja,ja,de,de,ko,val,freq,-14.375,-15.4375,-15.5625,-1.0625,-1.1875,3311,14458,3871
gemma-2-2b,0,ja,ja,de,de,en,freq,desc,-5.4375,1.5,-3.25,6.9375,2.1875,13,1,8
gemma-2-2b,0,ja,ja,de,de,fr,freq,desc,-12.4375,-7.6875,-7.9375,4.75,4.5,1220,843,241
gemma-2-2b,0,ja,ja,de,de,de,freq,desc,-18.0,-2.25,-15.3125,15.75,2.6875,17295,30,14515
gemma-2-2b,0,ja,ja,de,de,es,freq,desc,-13.375,-10.5,-11.5625,2.875,1.8125,2046,4791,2131
gemma-2-2b,0,ja,ja,de,de,zh,freq,desc,-7.125,-3.0625,-5.4375,4.0625,1.6875,41,59,40
gemma-2-2b,0,ja,ja,de,de,ja,freq,desc,0.0,0.0,0.0,0.0,0.0,0,6,0
gemma-2-2b,0,ja,ja,de,de,ko,freq,desc,-14.375,-9.3125,-10.6875,5.0625,3.6875,3311,2340,1307
gemma-2-2b,0,ja,ja,de,de,en,freq,val,-5.4375,1.5,-5.0,6.9375,0.4375,13,1,61
gemma-2-2b,0,ja,ja,de,de,fr,freq,val,-12.4375,-7.6875,-9.75,4.75,2.6875,1220,843,894
gemma-2-2b,0,ja,ja,de,de,de,freq,val,-18.0,-2.25,-11.375,15.75,6.625,17295,30,2192
gemma-2-2b,0,ja,ja,de,de,es,freq,val,-13.375,-10.5,-13.1875,2.875,0.1875,2046,4791,5521
gemma-2-2b,0,ja,ja,de,de,zh,freq,val,-7.125,-3.0625,-5.0625,4.0625,2.0625,41,59,69
gemma-2-2b,0,ja,ja,de,de,ja,freq,val,0.0,0.0,0.0,0.0,0.0,0,6,0
gemma-2-2b,0,ja,ja,de,de,ko,freq,val,-14.375,-9.3125,-8.1875,5.0625,6.1875,3311,2340,372
gemma-2-2b,0,ja,ja,de,de,en,freq,freq,-5.4375,1.5,-5.4375,6.9375,0.0,13,1,13
gemma-2-2b,0,ja,ja,de,de,fr,freq,freq,-12.4375,-7.6875,-12.5,4.75,-0.0625,1220,843,1251
gemma-2-2b,0,ja,ja,de,de,de,freq,freq,-18.0,-2.25,-18.0,15.75,0.0,17295,30,16701
gemma-2-2b,0,ja,ja,de,de,es,freq,freq,-13.375,-10.5,-13.375,2.875,0.0,2046,4791,2096
gemma-2-2b,0,ja,ja,de,de,zh,freq,freq,-7.125,-3.0625,-7.125,4.0625,0.0,41,59,43
gemma-2-2b,0,ja,ja,de,de,ja,freq,freq,0.0,0.0,0.0,0.0,0.0,0,6,0
gemma-2-2b,0,ja,ja,de,de,ko,freq,freq,-14.375,-9.3125,-14.25,5.0625,0.125,3311,2340,3220
gemma-2-2b,0,ja,ja,es,es,en,desc,desc,-5.4375,-4.0625,-5.4375,1.375,0.0,13,13,13
gemma-2-2b,0,ja,ja,es,es,fr,desc,desc,-12.4375,-12.875,-12.375,-0.4375,0.0625,1220,3390,1200
gemma-2-2b,0,ja,ja,es,es,de,desc,desc,-18.0,-17.0,-18.0,1.0,0.0,17295,24928,17272
gemma-2-2b,0,ja,ja,es,es,es,desc,desc,-13.375,-7.125,-13.375,6.25,0.0,2046,121,2044
gemma-2-2b,0,ja,ja,es,es,zh,desc,desc,-7.125,-3.875,-7.125,3.25,0.0,41,11,41
gemma-2-2b,0,ja,ja,es,es,ja,desc,desc,0.0,0.0,0.0,0.0,0.0,0,0,0
gemma-2-2b,0,ja,ja,es,es,ko,desc,desc,-14.375,-13.9375,-14.375,0.4375,0.0,3311,5931,3306
gemma-2-2b,0,ja,ja,es,es,en,desc,val,-5.4375,-4.0625,-5.375,1.375,0.0625,13,13,15
gemma-2-2b,0,ja,ja,es,es,fr,desc,val,-12.4375,-12.875,-11.8125,-0.4375,0.625,1220,3390,994
gemma-2-2b,0,ja,ja,es,es,de,desc,val,-18.0,-17.0,-17.625,1.0,0.375,17295,24928,16944
gemma-2-2b,0,ja,ja,es,es,es,desc,val,-13.375,-7.125,-12.75,6.25,0.625,2046,121,1714
gemma-2-2b,0,ja,ja,es,es,zh,desc,val,-7.125,-3.875,-6.8125,3.25,0.3125,41,11,42
gemma-2-2b,0,ja,ja,es,es,ja,desc,val,0.0,0.0,0.0,0.0,0.0,0,0,0
gemma-2-2b,0,ja,ja,es,es,ko,desc,val,-14.375,-13.9375,-14.125,0.4375,0.25,3311,5931,3284
gemma-2-2b,0,ja,ja,es,es,en,desc,freq,-5.4375,-4.0625,-5.4375,1.375,0.0,13,13,13
gemma-2-2b,0,ja,ja,es,es,fr,desc,freq,-12.4375,-12.875,-12.375,-0.4375,0.0625,1220,3390,1208
gemma-2-2b,0,ja,ja,es,es,de,desc,freq,-18.0,-17.0,-18.0,1.0,0.0,17295,24928,17367
gemma-2-2b,0,ja,ja,es,es,es,desc,freq,-13.375,-7.125,-13.375,6.25,0.0,2046,121,2054
gemma-2-2b,0,ja,ja,es,es,zh,desc,freq,-7.125,-3.875,-7.125,3.25,0.0,41,11,42
gemma-2-2b,0,ja,ja,es,es,ja,desc,freq,0.0,0.0,0.0,0.0,0.0,0,0,0
gemma-2-2b,0,ja,ja,es,es,ko,desc,freq,-14.375,-13.9375,-14.375,0.4375,0.0,3311,5931,3325
gemma-2-2b,0,ja,ja,es,es,en,val,desc,-5.4375,-1.75,-3.25,3.6875,2.1875,13,5,5
gemma-2-2b,0,ja,ja,es,es,fr,val,desc,-12.4375,-11.5,-10.125,0.9375,2.3125,1220,3149,560
gemma-2-2b,0,ja,ja,es,es,de,val,desc,-18.0,-15.8125,-16.125,2.1875,1.875,17295,26411,12424
gemma-2-2b,0,ja,ja,es,es,es,val,desc,-13.375,-5.25,-11.0,8.125,2.375,2046,68,926
gemma-2-2b,0,ja,ja,es,es,zh,val,desc,-7.125,-2.5,-5.75,4.625,1.375,41,8,30
